Month,Day,Dawn,Sunrise,Sunset,Dusk
1,1,08:00,08:44,15:55,16:39
1,2,08:00,08:44,15:57,16:41
1,3,08:00,08:44,15:58,16:42
1,4,08:00,08:43,15:59,16:43
1,5,07:59,08:43,16:01,16:44
1,6,07:59,08:42,16:02,16:45
1,7,07:59,08:42,16:03,16:47
1,8,07:58,08:41,16:05,16:48
1,9,07:57,08:40,16:06,16:49
1,10,07:57,08:40,16:08,16:51
1,11,07:56,08:39,16:10,16:52
1,12,07:55,08:38,16:11,16:54
1,13,07:55,08:37,16:13,16:55
1,14,07:54,08:36,16:15,16:57
1,15,07:53,08:35,16:17,16:59
1,16,07:52,08:34,16:18,17:00
1,17,07:51,08:33,16:20,17:02
1,18,07:50,08:31,16:22,17:04
1,19,07:49,08:30,16:24,17:05
1,20,07:48,08:29,16:26,17:07
1,21,07:46,08:27,16:28,17:09
1,22,07:45,08:26,16:30,17:11
1,23,07:44,08:24,16:32,17:12
1,24,07:43,08:23,16:34,17:14
1,25,07:41,08:21,16:36,17:16
1,26,07:40,08:20,16:38,17:18
1,27,07:38,08:18,16:40,17:20
1,28,07:37,08:16,16:42,17:22
1,29,07:35,08:15,16:44,17:24
1,30,07:34,08:13,16:47,17:26
1,31,07:32,08:11,16:49,17:28
2,1,07:30,08:09,16:51,17:30
2,2,07:29,08:07,16:53,17:32
2,3,07:27,08:05,16:55,17:34
2,4,07:25,08:03,16:57,17:36
2,5,07:23,08:01,16:59,17:38
2,6,07:22,07:59,17:02,17:40
2,7,07:20,07:57,17:04,17:42
2,8,07:18,07:55,17:06,17:44
2,9,07:16,07:53,17:08,17:46
2,10,07:14,07:51,17:10,17:48
2,11,07:12,07:49,17:12,17:50
2,12,07:10,07:47,17:15,17:52
2,13,07:08,07:45,17:17,17:54
2,14,07:06,07:42,17:19,17:56
2,15,07:03,07:40,17:21,17:58
2,16,07:01,07:38,17:23,18:00
2,17,06:59,07:36,17:26,18:02
2,18,06:57,07:33,17:28,18:04
2,19,06:55,07:31,17:30,18:06
2,20,06:52,07:29,17:32,18:08
2,21,06:50,07:26,17:34,18:10
2,22,06:48,07:24,17:36,18:12
2,23,06:46,07:21,17:38,18:14
2,24,06:43,07:19,17:41,18:16
2,25,06:41,07:17,17:43,18:18
2,26,06:39,07:14,17:45,18:20
2,27,06:36,07:12,17:47,18:22
2,28,06:34,07:09,17:49,18:24
2,29,06:31,07:07,17:51,18:27
3,1,06:29,07:04,17:53,18:29
3,2,06:26,07:02,17:55,18:31
3,3,06:24,06:59,17:58,18:33
3,4,06:21,06:57,18:00,18:35
3,5,06:19,06:54,18:02,18:37
3,6,06:16,06:52,18:04,18:39
3,7,06:14,06:49,18:06,18:41
